,node_id,word,frequency,community
332,332,serious,10,0
333,333,throw,11,5
334,334,road,13,2
335,335,major,12,0
336,336,slide,12,4
337,337,bug,38,3
338,338,right,47,2
339,339,pick,10,2
340,340,forest,15,3
341,341,once,12,0
342,342,pretty,20,3
343,343,cut,31,3
344,344,dry,11,0
345,345,level,16,0
346,346,bring,16,2
347,347,account,11,0
348,348,grow,45,3
349,349,😍,36,5
350,350,sure,18,2
351,351,early,11,0
352,352,speak,12,0
353,353,job,15,0
354,354,melt,14,4
355,355,hot,33,0
356,356,find,29,0
357,357,🏻,40,5
358,358,problem,36,0
359,359,history,10,4
360,360,book,20,0
361,361,face,11,2
362,362,truth,13,4
363,363,tree,71,3
364,364,few,24,4
365,365,polar,10,0
366,366,bear,12,0
367,367,ver,10,1
368,368,di,60,1
369,369,pero,27,1
370,370,hacer,16,1
371,371,fan,11,1
372,372,watch,27,0
373,373,about,11,0
374,374,dad,15,3
375,375,question,13,0
376,376,lot,28,0
377,377,😅,37,0
378,378,ice,47,4
379,379,age,31,4
380,380,argument,11,3
381,381,corporation,30,0
382,382,nuclear,20,2
383,383,che,53,1
384,384,idk,14,3
385,385,like,29,3
386,386,maybe,10,0
387,387,oil,23,2
388,388,little,11,2
389,389,side,25,4
390,390,natural,26,3
391,391,sigh,10,0
392,392,fun,10,0
393,393,close,11,0
394,394,compare,14,0
395,395,contribute,13,4
396,396,amount,16,0
397,397,u,14,0
398,398,è,26,1
399,399,ci,15,1
400,400,grazie,15,1
401,401,beautiful,14,0
402,402,grass,20,3
403,403,mention,11,0
404,404,energy,31,2
405,405,plan,14,2
406,406,poor,20,0
407,407,protect,12,2
408,408,global,32,0
409,409,warming,22,0
410,410,sono,27,1
411,411,da,16,1
412,412,terra,12,1
413,413,gli,11,1
414,414,system,12,2
415,415,PLN,17,6
416,416,bisa,16,6
417,417,enough,16,2
418,418,lawn,34,3
419,419,crazy,17,0
420,420,weather,36,3
421,421,plant,39,3
422,422,city,29,0
423,423,ocean,23,0
424,424,bee,10,3
425,425,all,24,3
426,426,place,25,3
427,427,eu,22,1
428,428,instead,22,3
429,429,flood,17,2
430,430,aku,12,6
431,431,😩,18,3
432,432,garden,14,3
433,433,Europe,18,0
434,434,warm,12,3
435,435,kita,12,6
436,436,South,11,0
437,437,✨,14,0
438,438,winter,36,0
439,439,UK,25,0
440,440,🥶,12,8
441,441,billionaire,16,0
442,442,krisis,10,6
443,443,pangan,15,6
444,444,season,10,0
445,445,saber,10,1
446,446,vida,10,1
447,447,planet,39,0
448,448,wish,14,0
449,449,everywhere,12,0
450,450,mas,13,1
451,451,fast,21,0
452,452,yo,17,1
453,453,clima,11,1
454,454,cambiamento,17,1
455,455,sempre,13,1
456,456,anche,11,1
457,457,c,11,1
458,458,today,30,0
459,459,night,10,5
460,460,cry,16,0
461,461,dan,25,6
462,462,waste,18,2
463,463,video,48,1
464,464,survive,13,0
465,465,map,11,3
466,466,research,29,2
467,467,blame,12,2
468,468,carbon,24,2
469,469,emission,20,2
470,470,ko,23,7
471,471,edit,24,1
472,472,sea,18,1
473,473,lifetime,10,4
474,474,ada,17,6
475,475,eso,14,1
476,476,release,16,2
477,477,news,15,2
478,478,ready,12,0
479,479,ma,30,1
480,480,luck,10,0
481,481,AC,10,2
482,482,create,13,0
483,483,line,12,0
484,484,fire,15,6
485,485,temperature,14,0
486,486,ng,37,7
487,487,mga,19,7
488,488,yang,12,6
489,489,student,13,0
490,490,mind,10,0
491,491,share,31,6
492,492,light,12,0
493,493,‍,13,3
494,494,♂,11,3
495,495,heat,38,0
496,496,open,17,2
497,497,CO2,10,2
498,498,green,19,2
499,499,🙄,13,0
500,500,able,15,6
501,501,ke,11,6
502,502,dei,11,1
503,503,New,13,0
504,504,favorite,13,2
505,505,honestly,13,3
506,506,yard,16,3
507,507,California,14,0
508,508,ang,47,7
509,509,pa,11,7
510,510,normal,14,3
511,511,part,32,0
512,512,death,10,0
513,513,record,11,4
514,514,sorry,10,0
515,515,wind,10,0
516,516,same,33,0
517,517,latitude,10,0
518,518,response,11,0
519,519,miss,14,0
