,source,target,weight,source_word,target_word,source_community,target_community
143,83,84,4,also,cost,4,4
144,83,85,4,also,less,4,4
145,83,23,2,also,sell,4,4
146,83,86,2,also,sense,4,0
147,21,84,5,capitalism,cost,4,4
148,21,85,2,capitalism,less,4,4
149,21,86,2,capitalism,sense,4,0
150,84,84,2,cost,cost,4,4
151,84,85,4,cost,less,4,4
152,84,23,4,cost,sell,4,4
153,84,86,4,cost,sense,4,0
154,85,23,2,less,sell,4,4
155,85,86,2,less,sense,4,0
156,23,86,2,sell,sense,4,0
157,88,87,6,o,se,1,1
158,89,91,2,Dios,gente,1,1
159,89,90,2,Dios,hay,1,1
160,89,42,5,Dios,para,1,1
161,89,92,4,Dios,sin,1,1
162,91,90,2,gente,hay,1,1
163,91,42,4,gente,para,1,1
164,91,92,2,gente,sin,1,1
165,90,42,7,hay,para,1,1
166,90,92,2,hay,sin,1,1
167,42,92,3,para,sin,1,1
168,33,96,2,bad,cause,0,0
169,33,93,4,bad,eat,0,0
170,33,98,2,bad,help,0,0
171,33,95,2,bad,probably,0,0
172,33,94,8,bad,steak,0,0
173,33,97,2,bad,supply,0,0
174,96,93,4,cause,eat,0,0
175,96,98,5,cause,help,0,0
176,96,95,2,cause,probably,0,0
177,96,94,6,cause,steak,0,0
178,96,97,2,cause,supply,0,0
179,93,93,8,eat,eat,0,0
180,93,98,4,eat,help,0,0
181,93,95,4,eat,probably,0,0
182,93,94,8,eat,steak,0,0
183,93,97,4,eat,supply,0,0
184,98,95,2,help,probably,0,0
185,98,94,4,help,steak,0,0
186,98,97,2,help,supply,0,0
187,95,94,4,probably,steak,0,0
188,95,97,3,probably,supply,0,0
189,94,94,2,steak,steak,0,0
190,94,97,4,steak,supply,0,0
191,101,100,2,full,happen,0,0
192,103,3,6,allow,car,2,2
193,103,104,2,allow,even,2,0
194,103,105,2,allow,ever,2,0
195,103,51,2,allow,gas,2,2
196,103,31,2,allow,matter,2,2
197,103,102,2,allow,run,2,2
198,103,72,2,allow,tell,2,0
199,3,104,2,car,even,2,0
200,3,105,2,car,ever,2,0
201,3,31,8,car,matter,2,2
202,3,102,4,car,run,2,2
203,3,72,2,car,tell,2,0
204,104,105,2,even,ever,0,0
205,104,51,2,even,gas,0,2
206,104,31,2,even,matter,0,2
207,104,102,3,even,run,0,2
208,104,72,2,even,tell,0,0
209,105,51,3,ever,gas,0,2
210,105,31,2,ever,matter,0,2
211,105,102,3,ever,run,0,2
212,105,72,3,ever,tell,0,0
213,51,31,6,gas,matter,2,2
214,51,102,2,gas,run,2,2
215,51,72,2,gas,tell,2,0
216,31,102,2,matter,run,2,2
217,31,72,2,matter,tell,2,0
218,102,72,2,run,tell,2,0
219,107,108,2,idea,try,3,3
220,39,109,2,bit,drink,2,2
221,39,10,2,bit,start,2,0
222,39,110,2,bit,water,2,2
223,109,10,2,drink,start,2,0
224,109,110,5,drink,water,2,2
225,10,110,2,start,water,0,2
