,node_id,word,frequency,community
534,534,sit,9,2
535,535,pass,7,3
536,536,pull,8,3
537,537,nice,10,8
538,538,😫,12,4
539,539,convince,8,6
540,540,accurate,9,0
541,541,joke,11,5
542,542,Colorado,8,0
543,543,science,20,11
544,544,finally,12,0
545,545,class,10,7
546,546,desert,8,0
547,547,email,15,1
548,548,💙,9,1
549,549,💯,19,8
550,550,tho,13,4
551,551,letter,12,1
552,552,break,12,4
553,553,second,8,0
554,554,Chevron,7,3
555,555,fix,8,3
556,556,battery,8,5
557,557,decide,7,2
558,558,USA,7,12
559,559,home,23,7
560,560,remember,13,4
561,561,mom,9,2
562,562,Canada,11,0
563,563,stream,8,4
564,564,mug,7,0
565,565,fine,8,3
566,566,freak,8,4
567,567,ur,8,2
568,568,brilliant,12,9
569,569,resource,9,4
570,570,Mexico,7,2
571,571,almost,9,2
572,572,suppose,11,0
573,573,freeze,9,0
574,574,average,12,10
575,575,concern,12,8
576,576,walk,8,0
577,577,wake,17,7
578,578,🥺,8,1
579,579,July,7,1
580,580,IM,7,12
581,581,god,10,0
582,582,river,10,0
583,583,awesome,12,8
584,584,song,19,9
585,585,western,11,11
586,586,cheap,8,8
587,587,realize,7,0
588,588,👏,33,7
589,589,♀,11,12
590,590,solar,16,5
591,591,panel,8,5
592,592,add,8,2
593,593,fish,8,0
594,594,explanation,7,4
595,595,boost,8,9
596,596,w,7,1
597,597,dome,16,3
598,598,Texas,10,0
599,599,person,14,9
600,600,choice,8,9
601,601,remote,8,8
602,602,Love,8,12
603,603,lie,7,4
604,604,forecast,7,0
605,605,growth,7,5
606,606,🔥,21,1
607,607,out,10,7
608,608,jovial,8,3
609,609,Pakistan,7,3
610,610,small,10,6
611,611,BC,10,1
612,612,text,8,4
613,613,autumn,8,9
614,614,focus,8,2
615,615,alternative,7,6
616,616,spot,9,9
617,617,realise,9,9
618,618,affect,8,9
619,619,main,7,10
620,620,UAE,10,12
