source_word,target_word,weight
clean,here,2
clean,put,2
clean,space,2
clean,there,2
clean,up,2
here,put,5
here,space,4
here,there,2
here,up,3
put,there,2
put,up,4
space,there,2
space,up,2
there,up,4
bad,bad,4
bad,country,5
bad,get,14
bad,guy,6
bad,many,8
bad,past,4
bad,thing,11
bad,year,4
country,get,4
country,guy,2
country,many,8
country,past,2
country,thing,8
country,year,5
get,guy,3
get,many,4
get,past,2
get,thing,15
get,year,11
guy,many,6
guy,past,2
guy,thing,4
guy,year,4
many,many,2
many,past,4
many,thing,8
many,year,13
past,thing,4
past,year,5
thing,thing,7
thing,year,10
talk,try,2
post,though,2
also,comment,2
also,due,2
also,low,2
also,man,2
also,many,2
also,microplastic,4
also,more,4
also,too,2
comment,due,2
comment,low,2
comment,man,2
comment,many,6
comment,microplastic,2
comment,more,2
comment,too,2
due,low,2
due,man,2
due,many,2
due,microplastic,2
due,more,2
due,too,2
low,man,2
low,many,2
low,microplastic,2
low,more,2
low,too,2
man,many,5
man,microplastic,2
man,more,3
man,too,2
many,microplastic,2
many,more,5
many,too,5
microplastic,more,4
microplastic,too,2
more,too,2
God,earth,3
God,save,2
fail,hate,2
fail,hear,2
fail,😞,2
hate,hear,2
hate,😞,2
hear,😞,2
bad,good,2
day,first,6
day,here,2
first,here,2
predict,think,2
predict,tired,2
think,tired,2
Palestine,end,2
Palestine,hopefully,2
Palestine,keep,2
Palestine,people,4
Palestine,soon,2
end,hopefully,2
end,keep,2
end,people,2
end,soon,4
hopefully,keep,2
hopefully,people,4
hopefully,soon,2
keep,people,3
keep,soon,2
people,soon,3
free,heart,2
free,ppl,2
free,🇵,6
free,🇸,4
free,😏,2
heart,ppl,2
heart,🇵,6
heart,🇸,4
heart,😏,2
ppl,🇵,6
ppl,🇸,4
ppl,😏,2
🇵,🇵,6
🇵,😏,6
🇸,🇸,3
🇸,😏,4
beach,get,2
beach,keep,2
beach,too,2
beach,water,2
beach,😭,2
get,keep,2
get,see,6
get,too,9
get,water,10
get,😭,5
keep,see,3
keep,too,2
keep,water,5
keep,😭,2
see,too,4
see,water,5
see,😭,11
too,water,4
too,😭,11
water,😭,2
also,bad,3
also,high,3
also,plastic,2
also,steak,4
bad,high,2
bad,less,2
bad,plastic,4
get,high,4
get,plastic,2
get,steak,2
high,less,2
high,plastic,3
high,steak,2
less,plastic,2
less,steak,2
plastic,steak,6
country,country,9
country,make,8
country,other,19
country,single,4
make,other,5
make,single,2
make,thing,9
other,single,2
other,thing,4
single,thing,2
adult,even,6
adult,then,2
adult,☹,3
adult,️,3
even,then,4
even,☹,3
even,️,3
then,☹,2
then,️,3
☹,️,10
save,turn,2
save,🙏,10
turn,😭,2
turn,🙏,2
😭,🙏,8
car,company,4
car,drive,9
car,gasoline,21
car,guy,10
car,law,4
car,produce,10
car,stop,5
company,drive,2
company,gasoline,4
company,guy,2
company,law,2
company,produce,3
company,stop,3
drive,gasoline,4
drive,guy,2
drive,law,2
drive,produce,4
drive,stop,2
gasoline,gasoline,4
gasoline,guy,4
gasoline,law,4
gasoline,produce,5
gasoline,stop,4
guy,law,2
guy,produce,2
guy,stop,2
law,produce,2
law,stop,2
produce,stop,2
bad,literally,3
bad,micro,2
bad,product,2
literally,make,3
literally,micro,2
literally,plastic,2
literally,product,2
literally,steak,2
make,micro,2
make,plastic,2
make,product,6
micro,plastic,9
micro,product,2
micro,steak,2
plastic,product,2
product,steak,2
again,feel,2
again,love,2
again,over,4
again,thank,2
again,well,2
feel,love,2
feel,over,4
feel,thank,3
feel,well,5
love,over,4
love,thank,12
love,well,3
over,over,2
over,thank,4
over,well,5
thank,well,4
way,❤,2
already,run,2
already,vote,2
already,’m,2
already,😭,6
run,vote,4
run,’m,3
run,😭,6
vote,’m,2
vote,😭,6
’m,😭,6
actually,😔,2
happen,😔,2
m,only,2
m,understand,2
only,understand,2
one,talk,5
actually,away,2
actually,car,2
actually,gas,2
actually,government,2
actually,take,2
actually,wait,3
away,car,2
away,gas,2
away,government,2
away,take,3
away,wait,2
car,take,4
car,wait,2
gas,government,3
gas,take,2
gas,wait,2
government,take,6
government,wait,2
take,wait,2
before,end,2
before,happen,10
before,literally,3
end,happen,2
end,literally,2
happen,literally,5
car,power,2
car,💀,2
gas,gas,4
gas,power,4
gas,💀,4
power,truck,2
power,💀,2
truck,💀,2
actually,anymore,2
actually,cold,2
actually,especially,2
actually,live,3
actually,sad,2
actually,that,2
actually,very,3
actually,☹,2
actually,️,2
anymore,cold,2
anymore,especially,2
anymore,live,6
anymore,sad,2
anymore,that,3
anymore,very,2
anymore,☹,2
anymore,️,2
cold,especially,2
cold,live,5
cold,sad,2
cold,that,2
cold,very,2
cold,☹,2
cold,️,2
especially,live,3
especially,sad,2
especially,that,2
especially,very,2
especially,☹,2
especially,️,2
live,sad,2
live,that,6
