aweme_id,cid,create_time,text,reply_comment_total
7287257421683150113,7287523804054897440,2023-10-08,Was ist das für ein Volvo?,8
7273551369179614507,7273593569280295722,2023-08-31,She turned her comments of lol,8
7283876381547695393,7445148828585706270,2024-12-06,the fact most the comments are hating on a literal child who's speaking out against issues she should never had to worry about in the first place is insane,7
7278835906868514090,7279015004472427306,2023-09-15,hi friend! Is there a way to download the letter so I can attach it to the email??? It’s not letting me and idk if that’s just me or others:3,7
7285320931457649952,7285336195302589217,2023-10-02,these kind of tiktoks feel so good,7
7285320931457649952,7285490203973534510,2023-10-02,Good starting tips ?,7
7273122381269617925,7273126920266089222,2023-08-30,Possible po ba ang mutation ng mga marine life dahil sa pagtatapon ng Japan ng nuclear waste sa dagat?,7
7283876381547695393,7425127768297849643,2024-10-13,This is such a meaningful and beautiful speech. It breaks my heart how genuinely insensitive people have become.,7
7286673402717424903,7290088636480537362,2023-10-15,great editing😁,7
7280478920753958145,7280683463875281665,2023-09-19,Western Sydney infrastructure is a disgrace. High Council rates are a joke too. I don’t understand why Councils never plant enough trees. Needs change,7
7281935325604171013,7282949430729802501,2023-09-26,2 kali keantartika gua g pernah liat beruang,7
7273122381269617925,7273122406749782789,2023-08-30,good evening copylinkzzz,7
7271410119622020395,7271526675295798048,2023-08-26,time to make revolution is not time to explain,6
7272820833368739114,7272822074250347297,2023-08-29,Almost got it😂,6
7276434003060854062,7276573784214143787,2023-09-08,"For profit
we are being poisoned",6
7284316139633577259,7285576768235733806,2023-10-03,Do one on the ocean too please. Commercial fishing and aquatic farming has led to a massive reduction of plankton which produces most of the oxygen.,6
7284316139633577259,7284323512226333482,2023-09-29,"I tell you, man, every time I see one of your videos, I feel validated by the life choices I’ve been making for the last 30 years. Thank you!",6
7273854909378759969,7296553611423990533,2023-11-01,Ця цивілізація приречена.,6
7275412673473514798,7275518371831481130,2023-09-06,"Other than the topic, this reminds me of listening to my kids describing their day when I picked them up from elementary school.",6
7285526435232714030,7286626310116606763,2023-10-05,IF THEY DON'T BUILD A MACHINE THAT FREEZES THAT AREA (I'M JOKIN BUT NOT),6
7285526435232714030,7289415375948694318,2023-10-13,"the flowers growing in Antarctica article was a half truth, flowers already were but their range is expanding",6
7272820833368739114,7272892971040998150,2023-08-29,"What I don't get about the money argument is fossil fuel companies. Like, you think they aren't motivated by money?",6
7287257421683150113,7287434356795409184,2023-10-08,was war seine Mission?,6
7278314820888169734,7278494619964556037,2023-09-14,Lima la gris ✨✨amo los días lluviosos y sin sol👏👏,6
7271410119622020395,7271411333836636971,2023-08-25,It’s anti-intellectualism,5
7287680374136786219,7305173296801891077,2023-11-24,Gamer dad tip. Get an old school system like a SNES. The controllers are perfect for their little hands and the games are relatively simple to play.,5
7274689988548185376,7276739508296467233,2023-09-09,ο μπρο έδειξε τη Γερμανία με ένα σπασμένο αμάξι και το έβαλε με όλα τα υπόλοιπα 😂,5
7287680374136786219,7287683649101579054,2023-10-08,I love your wife at the end! ‘Or we can buy skinsssss’ 🤣🤣🤣,5
7287680374136786219,7306397932822676230,2023-11-28,Paid partnership - Shell 💀,5
7278314820888169734,7278487883563860742,2023-09-14,🥺🥺🥺 solo pienso en todos los animalitos de la calle que están pasando este frio,5
7283876381547695393,7369591343200617222,2024-05-16,Love her ❤️,5
